  0.875269595030E+00  0.719386428004E+00
  0.906529223424E+00  0.740772167344E+00
  0.937788851818E+00  0.761860882414E+00
  0.969048480212E+00  0.782652573413E+00
  0.100030810861E+01  0.803147240196E+00
  0.103156773700E+01  0.823344882857E+00
  0.106282736539E+01  0.843245501350E+00
  0.109408699379E+01  0.862849095676E+00
  0.112534662218E+01  0.882155665877E+00
  0.115660625058E+01  0.901165211869E+00
  0.118786587897E+01  0.919877733776E+00
  0.121912550736E+01  0.938293231437E+00
  0.125038513576E+01  0.956411705047E+00
  0.128164476415E+01  0.974233154381E+00
  0.131290439254E+01  0.991757579690E+00
  0.134416402094E+01  0.100898498070E+01
  0.137542364933E+01  0.102591535770E+01
  0.140668327773E+01  0.104254871039E+01
  0.143794290612E+01  0.105888503909E+01
  0.146920253451E+01  0.107492434346E+01
  0.150046216291E+01  0.109066662385E+01
  0.153172179130E+01  0.110611187991E+01
  0.156298141970E+01  0.112126011198E+01
  0.159424104809E+01  0.113611131973E+01
  0.162550067648E+01  0.115066550348E+01
  0.165676030488E+01  0.116492266292E+01
  0.168801993327E+01  0.117888279836E+01
  0.171927956167E+01  0.119254590949E+01
  0.175053919006E+01  0.120591199661E+01
  0.178179881845E+01  0.121898105943E+01
  0.181305844685E+01  0.123175309823E+01
  0.184431807524E+01  0.124422811275E+01
  0.187557770364E+01  0.125640610322E+01
  0.190683733203E+01  0.126828706944E+01
  0.193809696042E+01  0.127987101159E+01
  0.196935658882E+01  0.129115792951E+01
  0.200061621721E+01  0.130214782332E+01
  0.203187584561E+01  0.131284069295E+01
  0.206313547400E+01  0.132323653844E+01
  0.209439510239E+01  0.133333535976E+01
  0.212565473079E+01  0.134313715692E+01
  0.215691435918E+01  0.135264192995E+01
  0.218817398757E+01  0.136184967878E+01
  0.221943361597E+01  0.137076040350E+01
  0.225069324436E+01  0.137937410402E+01
  0.228195287276E+01  0.138769078044E+01
  0.231321250115E+01  0.139571043263E+01
  0.234447212954E+01  0.140343306074E+01
  0.237573175794E+01  0.141085866461E+01
  0.240699138633E+01  0.141798724442E+01
  0.243825101473E+01  0.142481879997E+01
  0.246951064312E+01  0.143135333147E+01
  0.250077027151E+01  0.143759083870E+01
  0.253202989991E+01  0.144353132189E+01
  0.256328952830E+01  0.144917478081E+01
  0.259454915670E+01  0.145452121569E+01
  0.262580878509E+01  0.145957062629E+01
  0.265706841348E+01  0.146432301286E+01
  0.268832804188E+01  0.146877837514E+01
  0.271958767027E+01  0.147293671340E+01
  0.275084729867E+01  0.147679802737E+01
  0.278210692706E+01  0.148036231731E+01
  0.281336655545E+01  0.148362958298E+01
  0.284462618385E+01  0.148659982460E+01
  0.287588581224E+01  0.148927304196E+01
  0.290714544064E+01  0.149164923525E+01
  0.293840506903E+01  0.149372840431E+01
  0.296966469742E+01  0.149551054929E+01
  0.300092432582E+01  0.149699567004E+01
  0.303218395421E+01  0.149818376669E+01
  0.306344358260E+01  0.149907483914E+01
  0.309470321100E+01  0.149966888747E+01
  0.312596283939E+01  0.149996591162E+01
